Participant,Practice,Block,Trial,VV,ObjectsCount,MeasuredTime
0,true,0,0,VV1VV2,9,1788
0,true,0,1,VV2,9,698
0,true,0,2,VV1,9,674
0,false,1,0,VV2,9,628
0,false,1,1,VV2,9,613
0,false,1,2,VV1,9,742
0,false,1,3,VV1,9,681
0,false,1,4,VV1VV2,9,3067
0,false,1,5,VV1VV2,9,1718
0,false,1,6,VV1VV2,9,1628
0,false,1,7,VV2,9,698
0,false,1,8,VV2,9,595
0,false,1,9,VV1,9,716
0,false,1,10,VV1,9,605
0,false,1,11,VV2,9,593
0,false,1,12,VV1VV2,9,1591
0,false,1,13,VV1,9,766
0,false,1,14,VV1VV2,9,778
0,true,0,0,VV2,16,890
0,true,0,1,VV1VV2,16,3829
0,true,0,2,VV1,16,754
0,false,2,0,VV1,16,892
0,false,2,1,VV2,16,533
0,false,2,2,VV1VV2,16,3595
0,false,2,3,VV1,16,771
0,false,2,4,VV1VV2,16,1496
0,false,2,5,VV2,16,593
0,false,2,6,VV2,16,612
0,false,2,7,VV1,16,619
0,false,2,8,VV1,16,608
0,false,2,9,VV1VV2,16,3869
0,false,2,10,VV1VV2,16,2577
0,false,2,11,VV1VV2,16,1749
0,false,2,12,VV2,16,1167
0,false,2,13,VV2,16,1061
0,false,2,14,VV1,16,688
0,true,0,0,VV2,36,710
0,true,0,1,VV1VV2,36,4650
0,true,0,2,VV1,36,862
0,false,3,0,VV1VV2,36,3437
0,false,3,1,VV1,36,748
0,false,3,2,VV1VV2,36,3322
0,false,3,3,VV2,36,893
0,false,3,4,VV2,36,770
0,false,3,5,VV1,36,688
0,false,3,6,VV1,36,695
0,false,3,7,VV1VV2,36,4470
0,false,3,8,VV1VV2,36,4551
0,false,3,9,VV1VV2,36,4881
0,false,3,10,VV2,36,855
0,false,3,11,VV2,36,559
0,false,3,12,VV1,36,689
0,false,3,13,VV1,36,708
0,false,3,14,VV2,36,708
1,true,0,0,VV1,36,1172
1,true,0,1,VV2,36,1010
1,true,0,2,VV1VV2,36,6313
1,false,1,0,VV1VV2,36,7458
1,false,1,1,VV1VV2,36,4733
1,false,1,2,VV1VV2,36,4091
1,false,1,3,VV2,36,896
1,false,1,4,VV2,36,896
1,false,1,5,VV1,36,760
1,false,1,6,VV1,36,825
1,false,1,7,VV2,36,687
1,false,1,8,VV1VV2,36,1463
1,false,1,9,VV1,36,751
1,false,1,10,VV1VV2,36,5897
1,false,1,11,VV2,36,774
1,false,1,12,VV2,36,770
1,false,1,13,VV1,36,833
1,false,1,14,VV1,36,710
1,true,0,0,VV1VV2,9,2010
1,true,0,1,VV1,9,769
1,true,0,2,VV2,9,833
1,false,2,0,VV1VV2,9,3443
1,false,2,1,VV2,9,778
1,false,2,2,VV2,9,735
1,false,2,3,VV1,9,714
1,false,2,4,VV1,9,805
1,false,2,5,VV1VV2,9,4415
1,false,2,6,VV1VV2,9,2003
1,false,2,7,VV1VV2,9,4718
1,false,2,8,VV2,9,790
1,false,2,9,VV2,9,862
1,false,2,10,VV1,9,1171
1,false,2,11,VV1,9,829
1,false,2,12,VV2,9,729
1,false,2,13,VV1VV2,9,2138
1,false,2,14,VV1,9,1037
1,true,0,0,VV1VV2,16,1929
1,true,0,1,VV1,16,860
1,true,0,2,VV2,16,712
1,false,3,0,VV1,16,1163
1,false,3,1,VV1,16,704
1,false,3,2,VV1VV2,16,1728
1,false,3,3,VV1VV2,16,2671
1,false,3,4,VV1VV2,16,7906
1,false,3,5,VV2,16,1063
1,false,3,6,VV2,16,922
1,false,3,7,VV1,16,1210
1,false,3,8,VV1,16,668
1,false,3,9,VV2,16,669
1,false,3,10,VV1VV2,16,1112
1,false,3,11,VV1,16,754
1,false,3,12,VV1VV2,16,3114
1,false,3,13,VV2,16,834
1,false,3,14,VV2,16,794
2,true,0,0,VV2,16,923
2,true,0,1,VV1VV2,16,2302
2,true,0,2,VV1,16,1066
2,false,2,0,VV1,16,1198
2,false,2,1,VV2,16,687
2,false,2,2,VV1VV2,16,552
2,false,2,3,VV1,16,741
2,false,2,4,VV1VV2,16,1881
2,false,2,5,VV2,16,509
2,false,2,6,VV2,16,630
2,false,2,7,VV1,16,632
2,false,2,8,VV1,16,651
2,false,2,9,VV1VV2,16,2041
2,false,2,10,VV1VV2,16,4154
2,false,2,11,VV1VV2,16,2757
2,false,2,12,VV2,16,600
2,false,2,13,VV2,16,641
2,false,2,14,VV1,16,589
2,true,0,0,VV2,36,631
2,true,0,1,VV1VV2,36,2710
2,true,0,2,VV1,36,673
2,false,3,0,VV1VV2,36,718
2,false,3,1,VV1,36,906
2,false,3,2,VV1VV2,36,6236
2,false,3,3,VV2,36,4404
2,false,3,4,VV2,36,1233
2,false,3,5,VV1,36,1127
2,false,3,6,VV1,36,838
2,false,3,7,VV1VV2,36,6548
2,false,3,8,VV1VV2,36,4181
2,false,3,9,VV1VV2,36,5188
2,false,3,10,VV2,36,866
2,false,3,11,VV2,36,738
2,false,3,12,VV1,36,689
2,false,3,13,VV1,36,764
2,false,3,14,VV2,36,873
2,true,0,0,VV1VV2,9,7383
2,true,0,1,VV2,9,748
2,true,0,2,VV1,9,794
2,false,1,0,VV2,9,752
2,false,1,1,VV2,9,836
2,false,1,2,VV1,9,956
2,false,1,3,VV1,9,842
2,false,1,4,VV1VV2,9,1239
2,false,1,5,VV1VV2,9,1583
2,false,1,6,VV1VV2,9,2859
2,false,1,7,VV2,9,744
2,false,1,8,VV2,9,743
2,false,1,9,VV1,9,721
2,false,1,10,VV1,9,730
2,false,1,11,VV2,9,789
2,false,1,12,VV1VV2,9,740
2,false,1,13,VV1,9,771
2,false,1,14,VV1VV2,9,3547
3,true,0,0,VV1,9,2133
3,true,0,1,VV1VV2,9,3742
3,true,0,2,VV2,9,1216
3,false,1,0,VV2,9,1441
3,false,1,1,VV2,9,760
3,false,1,2,VV1,9,627
3,false,1,3,VV1,9,847
3,false,1,4,VV2,9,696
3,false,1,5,VV1VV2,9,661
3,false,1,6,VV1,9,825
3,false,1,7,VV1VV2,9,2031
3,false,1,8,VV2,9,792
3,false,1,9,VV2,9,653
3,false,1,10,VV1,9,1045
3,false,1,11,VV1,9,1042
3,false,1,12,VV1VV2,9,8548
3,false,1,13,VV1VV2,9,1347
3,false,1,14,VV1VV2,9,2678
3,true,0,0,VV1VV2,16,5953
3,true,0,1,VV2,16,855
3,true,0,2,VV1,16,947
3,false,2,0,VV1,16,1208
3,false,2,1,VV1,16,1091
3,false,2,2,VV2,16,705
3,false,2,3,VV1VV2,16,1253
3,false,2,4,VV1,16,2076
3,false,2,5,VV1VV2,16,2560
3,false,2,6,VV2,16,739
3,false,2,7,VV2,16,684
3,false,2,8,VV1,16,822
3,false,2,9,VV1,16,696
