Participant,Practice,Block,Trial,VV,ObjectsCount,MeasuredTime
2,true,0,0,VV2,16,923
2,true,0,1,VV1VV2,16,2302
2,true,0,2,VV1,16,1066
2,false,2,0,VV1,16,1198
2,false,2,1,VV2,16,687
2,false,2,2,VV1VV2,16,552
2,false,2,3,VV1,16,741
2,false,2,4,VV1VV2,16,1881
2,false,2,5,VV2,16,509
2,false,2,6,VV2,16,630
2,false,2,7,VV1,16,632
2,false,2,8,VV1,16,651
2,false,2,9,VV1VV2,16,2041
2,false,2,10,VV1VV2,16,4154
2,false,2,11,VV1VV2,16,2757
2,false,2,12,VV2,16,600
2,false,2,13,VV2,16,641
2,false,2,14,VV1,16,589
2,true,0,0,VV2,36,631
2,true,0,1,VV1VV2,36,2710
2,true,0,2,VV1,36,673
2,false,3,0,VV1VV2,36,718
2,false,3,1,VV1,36,906
2,false,3,2,VV1VV2,36,6236
2,false,3,3,VV2,36,4404
2,false,3,4,VV2,36,1233
2,false,3,5,VV1,36,1127
2,false,3,6,VV1,36,838
2,false,3,7,VV1VV2,36,6548
2,false,3,8,VV1VV2,36,4181
2,false,3,9,VV1VV2,36,5188
2,false,3,10,VV2,36,866
2,false,3,11,VV2,36,738
2,false,3,12,VV1,36,689
2,false,3,13,VV1,36,764
2,false,3,14,VV2,36,873
2,true,0,0,VV1VV2,9,7383
2,true,0,1,VV2,9,748
2,true,0,2,VV1,9,794
2,false,1,0,VV2,9,752
2,false,1,1,VV2,9,836
2,false,1,2,VV1,9,956
2,false,1,3,VV1,9,842
2,false,1,4,VV1VV2,9,1239
2,false,1,5,VV1VV2,9,1583
2,false,1,6,VV1VV2,9,2859
2,false,1,7,VV2,9,744
2,false,1,8,VV2,9,743
2,false,1,9,VV1,9,721
2,false,1,10,VV1,9,730
2,false,1,11,VV2,9,789
2,false,1,12,VV1VV2,9,740
2,false,1,13,VV1,9,771
2,false,1,14,VV1VV2,9,3547
