Participant,Practice,Block,Trial,VV,ObjectsCount,MeasuredTime
0,true,0,0,VV1VV2,9,1788
0,true,0,1,VV2,9,698
0,true,0,2,VV1,9,674
0,false,1,0,VV2,9,628
0,false,1,1,VV2,9,613
0,false,1,2,VV1,9,742
0,false,1,3,VV1,9,681
0,false,1,4,VV1VV2,9,3067
0,false,1,5,VV1VV2,9,1718
0,false,1,6,VV1VV2,9,1628
0,false,1,7,VV2,9,698
0,false,1,8,VV2,9,595
0,false,1,9,VV1,9,716
0,false,1,10,VV1,9,605
0,false,1,11,VV2,9,593
0,false,1,12,VV1VV2,9,1591
0,false,1,13,VV1,9,766
0,false,1,14,VV1VV2,9,778
0,true,0,0,VV2,16,890
0,true,0,1,VV1VV2,16,3829
0,true,0,2,VV1,16,754
0,false,2,0,VV1,16,892
0,false,2,1,VV2,16,533
0,false,2,2,VV1VV2,16,3595
0,false,2,3,VV1,16,771
0,false,2,4,VV1VV2,16,1496
0,false,2,5,VV2,16,593
0,false,2,6,VV2,16,612
0,false,2,7,VV1,16,619
0,false,2,8,VV1,16,608
0,false,2,9,VV1VV2,16,3869
0,false,2,10,VV1VV2,16,2577
0,false,2,11,VV1VV2,16,1749
0,false,2,12,VV2,16,1167
0,false,2,13,VV2,16,1061
0,false,2,14,VV1,16,688
0,true,0,0,VV2,36,710
0,true,0,1,VV1VV2,36,4650
0,true,0,2,VV1,36,862
0,false,3,0,VV1VV2,36,3437
0,false,3,1,VV1,36,748
0,false,3,2,VV1VV2,36,3322
0,false,3,3,VV2,36,893
0,false,3,4,VV2,36,770
0,false,3,5,VV1,36,688
0,false,3,6,VV1,36,695
0,false,3,7,VV1VV2,36,4470
0,false,3,8,VV1VV2,36,4551
0,false,3,9,VV1VV2,36,4881
0,false,3,10,VV2,36,855
0,false,3,11,VV2,36,559
0,false,3,12,VV1,36,689
0,false,3,13,VV1,36,708
0,false,3,14,VV2,36,708
